loan_id,property_type,region,origination_date,maturity_date,rate_type,interest_rate_pct,original_loan_amount,current_balance,appraised_value,net_operating_income,occupancy_pct,ltv,dscr,debt_yield,interest_coverage,covenant_status,delinquency_status,watchlist_rating,defaulted
L0011,Office,Southeast,2021-10-27,2024-10-26,Fixed,8.43,15772161.0,14980355.0,24794540.0,1187811.0,77.0,0.6042,0.82,0.0793,0.94,Compliant,Current,High Risk,0
L0012,Mixed-Use,Northeast,2024-01-11,2031-01-09,Fixed,6.97,23170631.0,22621392.0,28561276.0,1772190.0,83.3,0.792,0.98,0.0783,1.12,Compliant,Current,High Risk,0
L0013,Industrial,West,2020-07-22,2030-07-20,Floating,6.07,7957022.0,7436699.0,14942267.0,734223.0,92.6,0.4977,1.42,0.0987,1.63,Compliant,Current,Pass,0
L0014,Multifamily,Southeast,2019-07-06,2022-07-05,Floating,7.6,17132573.0,15797078.0,31674552.0,1876570.0,100.0,0.4987,1.36,0.1188,1.56,Compliant,Current,Pass,0
L0015,Office,Southeast,2022-08-16,2029-08-14,Floating,6.09,33675534.0,32309322.0,38206069.0,2682652.0,69.2,0.8457,1.19,0.083,1.36,Compliant,Current,Watch,0
L0016,Office,Northeast,2022-07-31,2029-07-29,Fixed,7.17,19122965.0,18337090.0,32098238.0,1651566.0,75.5,0.5713,1.09,0.0901,1.26,Compliant,Current,Watch,0
L0017,Multifamily,Southeast,2019-07-11,2024-07-09,Fixed,6.27,14242111.0,13134270.0,17186683.0,1087769.0,100.0,0.7642,1.15,0.0828,1.32,Compliant,Current,Watch,0
L0018,Retail,West,2021-02-18,2026-02-17,Fixed,5.61,7491371.0,7053464.0,10673690.0,700079.0,84.4,0.6608,1.54,0.0993,1.77,Compliant,Current,Pass,0
L0019,Multifamily,Southeast,2021-06-28,2026-06-27,Fixed,6.81,12787723.0,12094873.0,19194289.0,1206412.0,84.5,0.6301,1.27,0.0997,1.46,Compliant,Current,Pass,0
L0020,Multifamily,West,2023-04-23,2026-04-22,Fixed,6.32,6494035.0,6283948.0,9575904.0,580951.0,94.1,0.6562,1.27,0.0924,1.46,Compliant,Current,Pass,0
L0021,Retail,Northeast,2022-08-03,2025-08-02,Floating,6.96,6806551.0,6527501.0,12173798.0,826948.0,93.4,0.5362,1.58,0.1267,1.82,Compliant,Current,Pass,0
L0022,Office,Midwest,2022-10-28,2025-10-27,Floating,6.79,8862764.0,8524473.0,11634738.0,804855.0,74.9,0.7327,1.21,0.0944,1.39,Compliant,90+ Days,Pass,1
L0023,Multifamily,Southeast,2019-01-21,2024-01-20,Floating,6.78,7319812.0,6709280.0,11102282.0,721801.0,96.4,0.6043,1.38,0.1076,1.59,Compliant,Current,Pass,0
L0024,Multifamily,Midwest,2021-06-15,2024-06-14,Floating,7.32,3987979.0,3770203.0,5072102.0,310251.0,81.0,0.7433,0.98,0.0823,1.12,Compliant,Current,High Risk,0
L0025,Multifamily,West,2023-04-24,2033-04-21,Fixed,8.53,13874701.0,13426301.0,20145116.0,1466214.0,81.4,0.6665,1.11,0.1092,1.28,Compliant,Current,Watch,0
L0026,Industrial,Southeast,2019-12-25,2024-12-23,Fixed,7.32,25354755.0,23521710.0,45152089.0,2402242.0,90.5,0.5209,1.21,0.1021,1.39,Compliant,Current,Pass,0
L0027,Office,Southwest,2024-05-02,2031-05-01,Fixed,6.4,14006389.0,13725955.0,17297119.0,1231320.0,82.7,0.7935,1.22,0.0897,1.4,Compliant,Current,Watch,0
L0028,Retail,Midwest,2022-06-17,2027-06-16,Floating,6.32,13602655.0,13023965.0,19532270.0,1343376.0,93.1,0.6668,1.42,0.1031,1.63,Compliant,Current,Pass,0
L0029,Retail,Southeast,2021-07-11,2026-07-10,Fixed,6.02,14858507.0,14059812.0,24072562.0,1607836.0,77.5,0.5841,1.65,0.1144,1.9,Compliant,Current,Pass,0
L0030,Office,Midwest,2023-08-01,2033-07-29,Fixed,5.07,9307740.0,9037229.0,12226170.0,793612.0,83.8,0.7392,1.51,0.0878,1.73,Compliant,Current,Pass,0
L0031,Retail,Southeast,2024-12-25,2027-12-25,Fixed,6.8,4656923.0,4599968.0,8969828.0,430465.0,88.3,0.5128,1.2,0.0936,1.38,Compliant,Current,Pass,0
L0032,Office,Northeast,2019-06-23,2024-06-21,Fixed,5.29,31041056.0,28608117.0,26306704.0,2038406.0,71.0,1.0875,1.17,0.0713,1.35,Compliant,90+ Days,High Risk,1
L0033,Office,Midwest,2023-08-26,2030-08-24,Floating,6.26,17108647.0,16625480.0,15743511.0,1142161.0,67.3,1.056,0.95,0.0687,1.1,Compliant,90+ Days,High Risk,1
L0034,Mixed-Use,Southwest,2020-07-17,2023-07-17,Floating,7.2,6883474.0,6432220.0,9497519.0,535161.0,86.8,0.6773,1.0,0.0832,1.16,Compliant,Current,Watch,0
L0035,Mixed-Use,Southwest,2022-02-04,2025-02-03,Fixed,5.99,9862943.0,9400222.0,12150762.0,872781.0,95.3,0.7736,1.35,0.0928,1.55,Compliant,Current,Watch,0
L0036,Industrial,West,2024-06-29,2029-06-28,Floating,6.16,12596238.0,12368057.0,13861793.0,924575.0,94.3,0.8922,1.06,0.0748,1.21,Compliant,90+ Days,High Risk,1
L0037,Multifamily,Southeast,2019-11-12,2022-11-11,Floating,5.52,7754253.0,7182690.0,12967153.0,774826.0,84.5,0.5539,1.7,0.1079,1.95,Compliant,Current,Pass,0
L0038,Office,Midwest,2019-02-22,2024-02-21,Fixed,7.28,3913282.0,3590999.0,3498061.0,264895.0,63.1,1.0266,0.88,0.0738,1.01,Breached,Current,High Risk,0
L0039,Industrial,West,2024-10-08,2027-10-08,Fixed,5.45,8376899.0,8252967.0,14881920.0,909619.0,100.0,0.5546,1.76,0.1102,2.02,Compliant,Current,Pass,0
L0040,Multifamily,Midwest,2024-08-18,2034-08-16,Fixed,5.67,10510349.0,10337231.0,14187132.0,1095319.0,100.0,0.7286,1.62,0.106,1.87,Compliant,Current,Pass,0
L0041,Office,Southeast,2019-03-13,2026-03-11,Fixed,4.59,18091574.0,16612922.0,22107154.0,1543268.0,80.4,0.7515,1.76,0.0929,2.02,Compliant,Current,Watch,0
L0042,Retail,Southwest,2020-07-10,2027-07-09,Floating,6.58,15987823.0,14936044.0,27750807.0,2042710.0,98.8,0.5382,1.81,0.1368,2.08,Compliant,Current,Pass,0
L0043,Office,Northeast,2020-03-17,2027-03-16,Fixed,5.9,18537752.0,17248134.0,19691003.0,1382540.0,79.8,0.8759,1.18,0.0802,1.36,Compliant,Current,High Risk,0
L0044,Hospitality,Southwest,2020-02-10,2030-02-07,Floating,6.76,25144973.0,23365949.0,25075286.0,1750119.0,63.8,0.9318,0.96,0.0749,1.11,Compliant,Current,High Risk,0
L0045,Multifamily,West,2022-08-14,2025-08-13,Fixed,5.14,21444152.0,20572756.0,33706095.0,2256187.0,96.4,0.6104,1.85,0.1097,2.13,Compliant,Current,Pass,0
L0046,Industrial,Northeast,2022-06-03,2032-05-31,Fixed,6.86,10057054.0,9624573.0,18355553.0,1073040.0,87.4,0.5243,1.41,0.1115,1.63,Compliant,Current,Pass,0
L0047,Multifamily,West,2020-07-20,2027-07-19,Fixed,4.54,38861073.0,36317323.0,55577970.0,3643843.0,84.0,0.6534,1.92,0.1003,2.21,Compliant,Current,Pass,0
L0048,Retail,Southeast,2024-01-19,2031-01-17,Fixed,6.12,3992438.0,3898851.0,5704860.0,417867.0,93.2,0.6834,1.52,0.1072,1.75,Compliant,Current,Pass,0
L0049,Retail,Northeast,2020-05-31,2025-05-30,Fixed,6.3,4785834.0,4464698.0,5412074.0,386819.0,93.8,0.825,1.2,0.0866,1.37,Compliant,Current,Watch,0
L0050,Office,West,2021-09-23,2024-09-22,Floating,6.65,25230381.0,23935544.0,22857134.0,1588829.0,67.8,1.0472,0.87,0.0664,1.0,Compliant,Current,High Risk,0
L0051,Mixed-Use,Southeast,2024-12-23,2029-12-22,Fixed,6.34,27908457.0,27565298.0,39750168.0,1834002.0,75.1,0.6935,0.91,0.0665,1.05,Compliant,Current,High Risk,0
L0052,Industrial,Southwest,2021-01-01,2027-12-31,Floating,7.31,8954425.0,8416865.0,8712124.0,549569.0,90.4,0.9661,0.78,0.0653,0.89,Compliant,90+ Days,High Risk,1
L0053,Mixed-Use,Southeast,2023-03-07,2026-03-06,Fixed,7.39,8030250.0,7758058.0,11372976.0,706664.0,79.3,0.6821,1.07,0.0911,1.23,Compliant,Current,Watch,0
L0054,Hospitality,Midwest,2020-11-01,2027-10-31,Fixed,6.06,57950357.0,54355212.0,76379766.0,4206286.0,71.8,0.7116,1.11,0.0774,1.28,Compliant,90+ Days,Watch,1
L0055,Retail,Southeast,2019-01-17,2022-01-16,Fixed,5.33,5173962.0,4741730.0,6861315.0,501794.0,87.4,0.6911,1.73,0.1058,1.99,Compliant,Current,Pass,0
L0056,Mixed-Use,Southeast,2023-05-12,2026-05-11,Fixed,6.7,16870006.0,16334788.0,35901546.0,1679195.0,94.3,0.455,1.33,0.1028,1.53,Compliant,Current,Pass,0
L0057,Office,Midwest,2024-02-10,2027-02-09,Fixed,5.95,37082874.0,36240433.0,44721313.0,3243624.0,80.5,0.8104,1.31,0.0895,1.5,Compliant,Current,Watch,0
L0058,Office,West,2022-04-28,2025-04-27,Fixed,7.34,14118541.0,13494695.0,16713072.0,1286291.0,72.8,0.8074,1.13,0.0953,1.3,Compliant,Current,Watch,0
L0059,Office,West,2023-04-14,2028-04-12,Fixed,5.66,12784090.0,12366733.0,13386088.0,844815.0,62.9,0.9238,1.05,0.0683,1.21,Compliant,90+ Days,High Risk,1
L0060,Multifamily,Southeast,2020-07-17,2023-07-17,Fixed,5.43,8849654.0,8269505.0,14785919.0,951192.0,93.4,0.5593,1.84,0.115,2.12,Compliant,Current,Pass,0
L0061,Multifamily,Midwest,2024-04-03,2034-04-01,Fixed,6.33,19702782.0,19289509.0,21032527.0,1550266.0,78.3,0.9171,1.1,0.0804,1.27,Compliant,Current,High Risk,0
L0062,Multifamily,Midwest,2023-02-17,2028-02-16,Fixed,4.63,21498602.0,20757165.0,37656207.0,2188846.0,86.7,0.5512,1.98,0.1055,2.28,Compliant,Current,Pass,0
L0063,Industrial,Southwest,2024-09-08,2027-09-08,Floating,6.18,10187221.0,10026458.0,10946123.0,776594.0,88.2,0.916,1.09,0.0775,1.25,Compliant,Current,High Risk,0
L0064,Multifamily,West,2022-08-25,2029-08-23,Floating,6.3,33804769.0,32443317.0,40568373.0,2301836.0,87.9,0.7997,0.98,0.0709,1.13,Compliant,Current,High Risk,0
L0065,Multifamily,Northeast,2019-07-09,2029-07-06,Fixed,6.4,12212845.0,11262050.0,25149800.0,1359171.0,81.5,0.4478,1.64,0.1207,1.89,Compliant,Current,Pass,0
L0066,Retail,West,2023-02-09,2030-02-07,Fixed,5.3,16284680.0,15718777.0,25901697.0,1752610.0,81.2,0.6069,1.83,0.1115,2.1,Compliant,Current,Pass,0
L0067,Office,West,2021-12-23,2024-12-22,Floating,5.81,14193312.0,13507367.0,14484371.0,938005.0,87.2,0.9325,1.04,0.0694,1.2,Compliant,Current,High Risk,0
L0068,Industrial,Southwest,2019-02-01,2029-01-29,Floating,7.64,36094886.0,33097329.0,76153044.0,3770410.0,100.0,0.4346,1.3,0.1139,1.49,Compliant,Current,Pass,0
L0069,Office,Northeast,2020-02-05,2027-02-03,Fixed,6.19,42689118.0,39661816.0,53158471.0,4132423.0,90.3,0.7461,1.46,0.1042,1.68,Compliant,Current,Pass,0
L0070,Mixed-Use,Southwest,2024-08-01,2027-08-01,Floating,7.38,13048475.0,12826258.0,20991256.0,1286083.0,85.1,0.611,1.18,0.1003,1.36,Compliant,Current,Pass,0
L0071,Industrial,Northeast,2019-10-20,2022-10-19,Fixed,5.71,22011878.0,20372747.0,39872544.0,2774974.0,96.2,0.5109,2.07,0.1362,2.38,Compliant,Current,Pass,0
L0072,Office,Southeast,2021-02-04,2026-02-03,Fixed,6.15,38534773.0,36264494.0,37712982.0,2996170.0,87.3,0.9616,1.17,0.0826,1.34,Compliant,Current,High Risk,0
L0073,Office,Northeast,2021-06-22,2024-06-21,Floating,6.79,42289734.0,39990099.0,37450162.0,2517716.0,66.2,1.0678,0.81,0.063,0.93,Breached,90+ Days,High Risk,1
L0074,Industrial,Southwest,2024-02-22,2031-02-20,Fixed,7.77,2553571.0,2496566.0,3506165.0,268080.0,100.0,0.7121,1.2,0.1074,1.38,Compliant,Current,Pass,0
L0075,Industrial,West,2022-02-02,2027-02-01,Floating,6.4,14853394.0,14155569.0,23499235.0,1344920.0,100.0,0.6024,1.29,0.095,1.48,Compliant,Current,Pass,0
L0076,Industrial,Northeast,2024-09-19,2034-09-17,Floating,6.45,13475179.0,13267403.0,9676272.0,752706.0,86.9,1.3711,0.76,0.0567,0.88,Breached,Current,High Risk,0
L0077,Industrial,Northeast,2019-09-26,2024-09-24,Fixed,7.19,12957508.0,11982394.0,22866683.0,1316371.0,100.0,0.524,1.33,0.1099,1.53,Compliant,Current,Pass,0
L0078,Office,Midwest,2019-10-07,2022-10-06,Fixed,5.86,20296781.0,18776691.0,37750821.0,2259754.0,94.5,0.4974,1.79,0.1203,2.05,Compliant,Current,Pass,0
L0079,Multifamily,West,2021-09-03,2024-09-02,Fixed,6.46,13752256.0,13037440.0,27243904.0,1414177.0,98.2,0.4785,1.46,0.1085,1.68,Compliant,Current,Pass,0
L0080,Office,Southeast,2021-02-07,2026-02-06,Fixed,7.11,36455740.0,34311543.0,51177668.0,3450184.0,82.8,0.6704,1.23,0.1006,1.41,Compliant,30-60 Days,Pass,0
L0081,Hospitality,Southwest,2020-02-25,2027-02-23,Floating,6.08,29599362.0,27519784.0,27746408.0,1961070.0,59.0,0.9918,1.02,0.0713,1.17,Breached,Current,High Risk,0
L0082,Retail,Southeast,2019-08-21,2026-08-19,Fixed,6.51,9013650.0,8324661.0,10732382.0,771672.0,95.6,0.7757,1.24,0.0927,1.42,Compliant,Current,Watch,0
L0083,Multifamily,West,2020-08-12,2025-08-11,Fixed,7.77,22456188.0,21003242.0,38280351.0,1995008.0,83.8,0.5487,1.06,0.095,1.22,Compliant,Current,Watch,0
L0084,Office,Northeast,2023-01-24,2026-01-23,Floating,7.43,22652861.0,21853743.0,22026683.0,1506070.0,81.0,0.9921,0.81,0.0689,0.93,Compliant,30-60 Days,High Risk,0
L0085,Multifamily,Northeast,2023-03-23,2026-03-22,Fixed,6.46,15916707.0,15385568.0,21591303.0,1483492.0,95.8,0.7126,1.3,0.0964,1.49,Compliant,Current,Pass,0
L0086,Multifamily,West,2022-05-31,2029-05-29,Floating,6.4,33507760.0,32063530.0,32973414.0,2325712.0,65.6,0.9724,0.99,0.0725,1.13,Compliant,Current,High Risk,0
L0087,Industrial,Northeast,2023-03-13,2026-03-12,Fixed,5.66,7874429.0,7609072.0,13849765.0,803916.0,97.2,0.5494,1.62,0.1057,1.87,Compliant,Current,Pass,0
L0088,Retail,Northeast,2019-02-16,2024-02-15,Floating,5.71,3475717.0,3188785.0,7011320.0,297646.0,100.0,0.4548,1.42,0.0933,1.63,Compliant,Current,Pass,0
L0089,Hospitality,Northeast,2021-11-26,2028-11-24,Fixed,7.56,22893256.0,21766532.0,14582695.0,1040596.0,51.3,1.4926,0.55,0.0478,0.63,Breached,90+ Days,High Risk,1
L0090,Multifamily,Southwest,2023-02-02,2033-01-30,Fixed,7.38,13502914.0,13030571.0,21232290.0,1352232.0,91.6,0.6137,1.22,0.1038,1.41,Compliant,Current,Pass,0
L0091,Office,Southwest,2019-06-04,2024-06-02,Fixed,5.61,26768149.0,24653392.0,29055313.0,1961878.0,62.4,0.8485,1.23,0.0796,1.42,Compliant,Current,Watch,0
L0092,Industrial,Midwest,2023-06-30,2026-06-29,Fixed,6.5,10608004.0,10288544.0,14633764.0,938735.0,86.8,0.7031,1.22,0.0912,1.4,Compliant,Current,Pass,0
L0093,Industrial,Southeast,2023-11-24,2030-11-22,Floating,6.7,15148487.0,14765500.0,17936294.0,1203714.0,78.6,0.8232,1.06,0.0815,1.22,Compliant,Current,Watch,0
L0094,Retail,West,2023-09-28,2030-09-26,Floating,7.67,31721057.0,30859635.0,46505748.0,3331396.0,88.3,0.6636,1.22,0.108,1.41,Compliant,Current,Pass,0
L0095,Industrial,West,2019-01-14,2024-01-13,Floating,6.94,15540010.0,14240269.0,30064783.0,1451732.0,100.0,0.4737,1.28,0.1019,1.47,Compliant,Current,Pass,0
L0096,Retail,West,2022-08-12,2032-08-09,Fixed,6.18,13694098.0,13136730.0,21500841.0,1618351.0,90.3,0.611,1.73,0.1232,1.99,Compliant,Current,Pass,0
L0097,Retail,Midwest,2024-10-10,2031-10-09,Fixed,5.71,7449890.0,7340162.0,7934499.0,502736.0,79.6,0.9251,1.04,0.0685,1.2,Compliant,Current,High Risk,0
L0098,Multifamily,Southwest,2021-02-09,2024-02-09,Fixed,6.51,5601393.0,5272307.0,7397633.0,589175.0,87.1,0.7127,1.49,0.1117,1.72,Compliant,Current,Pass,0
L0099,Office,Midwest,2024-05-26,2027-05-26,Fixed,5.89,5085587.0,4987776.0,7576088.0,461118.0,80.2,0.6584,1.37,0.0924,1.57,Compliant,Current,Pass,0
L0100,Office,West,2021-03-12,2026-03-11,Floating,6.8,13532544.0,12751290.0,22976836.0,1352546.0,70.8,0.555,1.36,0.1061,1.56,Compliant,Current,Watch,0
L0101,Office,Southeast,2024-09-12,2031-09-11,Fixed,6.13,4354315.0,4286173.0,4063179.0,258682.0,67.4,1.0549,0.86,0.0604,0.98,Compliant,Current,High Risk,0
L0102,Retail,Northeast,2023-04-28,2026-04-27,Fixed,5.86,10611024.0,10269495.0,9092226.0,631909.0,85.1,1.1295,0.91,0.0615,1.05,Compliant,Current,High Risk,0
L0103,Multifamily,Southwest,2020-09-03,2027-09-02,Fixed,5.32,9721669.0,9099695.0,16245121.0,1015821.0,84.4,0.5601,1.82,0.1116,2.1,Compliant,Current,Pass,0
L0104,Retail,Southwest,2023-09-15,2030-09-13,Floating,7.06,3884854.0,3777696.0,4146617.0,290896.0,90.3,0.911,0.95,0.077,1.09,Compliant,90+ Days,High Risk,1
L0105,Hospitality,Midwest,2019-10-07,2022-10-06,Floating,6.64,23641963.0,21871342.0,34415982.0,2117129.0,78.4,0.6355,1.27,0.0968,1.46,Compliant,Current,Pass,0
L0106,Multifamily,Southwest,2024-04-06,2031-04-05,Floating,8.21,7993742.0,7826859.0,15021122.0,981090.0,100.0,0.5211,1.33,0.1253,1.53,Compliant,Current,Pass,0
L0107,Multifamily,West,2019-09-30,2029-09-27,Fixed,5.27,15376396.0,14221270.0,18935704.0,1611977.0,94.7,0.751,1.87,0.1133,2.15,Compliant,Current,Watch,0
L0108,Industrial,West,2021-03-13,2024-03-12,Fixed,6.76,14757915.0,13906404.0,23274143.0,1587655.0,99.2,0.5975,1.47,0.1142,1.69,Compliant,Current,Pass,0
L0109,Multifamily,Midwest,2024-11-23,2029-11-22,Floating,6.53,8157175.0,8048829.0,11455295.0,789699.0,87.2,0.7026,1.31,0.0981,1.5,Compliant,Current,Pass,0
L0110,Office,West,2019-07-30,2024-07-28,Floating,8.49,15797743.0,14578764.0,26451405.0,1368777.0,73.7,0.5512,0.96,0.0939,1.11,Compliant,Current,High Risk,0
L0111,Multifamily,Southeast,2022-04-14,2032-04-11,Fixed,6.69,13505531.0,12902555.0,19912410.0,1537011.0,100.0,0.648,1.55,0.1191,1.78,Compliant,Current,Pass,0
L0112,Office,Midwest,2019-06-30,2029-06-27,Floating,6.89,8302017.0,7653232.0,7317107.0,545843.0,75.8,1.0459,0.9,0.0713,1.03,Compliant,Current,High Risk,0
L0113,Mixed-Use,Southeast,2024-03-18,2029-03-17,Floating,6.53,15755688.0,15416919.0,30476064.0,1784982.0,85.6,0.5059,1.54,0.1158,1.77,Compliant,Current,Pass,0
L0114,Industrial,Northeast,2024-03-29,2031-03-28,Floating,5.97,4551809.0,4455585.0,6469041.0,481430.0,100.0,0.6888,1.57,0.1081,1.81,Compliant,Current,Pass,0
L0115,Retail,Southeast,2023-06-01,2028-05-30,Floating,6.88,10919890.0,10580625.0,15373849.0,1044933.0,84.9,0.6882,1.25,0.0988,1.44,Compliant,Current,Pass,0
L0116,Hospitality,Northeast,2022-08-23,2027-08-22,Fixed,4.96,17317238.0,16618666.0,24495859.0,1602464.0,80.0,0.6784,1.69,0.0964,1.95,Compliant,Current,Pass,0
L0117,Industrial,Northeast,2024-04-23,2029-04-22,Fixed,5.0,4538001.0,4445799.0,7143359.0,547314.0,98.6,0.6224,2.14,0.1231,2.46,Compliant,Current,Pass,0
L0118,Office,Southeast,2024-07-05,2027-07-05,Fixed,7.11,13083950.0,12849514.0,21364833.0,1290208.0,81.6,0.6014,1.23,0.1004,1.41,Compliant,Current,Pass,0
L0119,Hospitality,Midwest,2023-02-21,2028-02-20,Floating,5.01,16367889.0,15805551.0,18801481.0,1099864.0,62.8,0.8407,1.21,0.0696,1.39,Compliant,Current,Watch,0
L0120,Retail,West,2022-09-30,2027-09-29,Floating,6.31,14398557.0,13835712.0,20789541.0,1390156.0,91.1,0.6655,1.38,0.1005,1.59,Compliant,Current,Pass,0
L0121,Industrial,West,2023-02-02,2026-02-01,Floating,5.66,11000081.0,10615290.0,15871847.0,1107126.0,90.6,0.6688,1.6,0.1043,1.84,Compliant,Current,Pass,0
L0122,Hospitality,Northeast,2021-04-23,2031-04-21,Fixed,5.84,13001827.0,12269165.0,15381151.0,1133542.0,71.8,0.7977,1.38,0.0924,1.58,Compliant,Current,Watch,0
L0123,Multifamily,Northeast,2021-03-23,2024-03-22,Floating,6.77,29722166.0,28017010.0,37607900.0,2393420.0,91.2,0.745,1.1,0.0854,1.26,Compliant,Current,Watch,0
L0124,Office,Midwest,2020-06-03,2023-06-03,Floating,7.49,25404885.0,23702688.0,43545278.0,2497411.0,85.7,0.5443,1.22,0.1054,1.41,Compliant,Current,Pass,0
L0125,Multifamily,Southwest,2020-07-08,2025-07-07,Floating,7.7,9973478.0,9316704.0,9561905.0,839125.0,91.7,0.9744,1.02,0.0901,1.17,Compliant,Current,High Risk,0
L0126,Multifamily,Southeast,2019-08-24,2026-08-22,Floating,5.77,5105395.0,4715651.0,12275012.0,677834.0,100.0,0.3842,2.17,0.1437,2.49,Compliant,Current,Pass,0
L0127,Industrial,Northeast,2024-06-04,2027-06-04,Floating,6.18,7917366.0,7767435.0,12262753.0,803162.0,91.8,0.6334,1.45,0.1034,1.67,Compliant,Current,Pass,0
L0128,Hospitality,West,2020-10-16,2025-10-15,Fixed,9.85,19487247.0,18268039.0,17029095.0,1226390.0,63.7,1.0728,0.59,0.0671,0.68,Compliant,90+ Days,High Risk,1
L0129,Office,Midwest,2023-12-15,2033-12-12,Fixed,5.97,22050594.0,21508331.0,26334682.0,1984584.0,80.8,0.8167,1.34,0.0923,1.54,Compliant,Current,Watch,0
L0130,Retail,Southeast,2020-04-23,2025-04-22,Fixed,5.41,11172245.0,10408615.0,18752876.0,1123214.0,95.6,0.555,1.74,0.1079,2.0,Compliant,Current,Pass,0
L0131,Multifamily,Midwest,2024-01-26,2029-01-24,Fixed,5.56,18700061.0,18266015.0,39865856.0,1918574.0,100.0,0.4582,1.64,0.105,1.89,Compliant,Current,Pass,0
L0132,Multifamily,Southeast,2019-12-21,2026-12-19,Floating,6.38,4946101.0,4587868.0,6022035.0,359441.0,93.3,0.7618,1.07,0.0783,1.23,Compliant,Current,Watch,0
L0133,Office,Southeast,2019-07-25,2022-07-24,Floating,6.25,20187214.0,18626216.0,20075288.0,1460515.0,80.7,0.9278,1.09,0.0784,1.26,Compliant,Current,High Risk,0
L0134,Multifamily,Northeast,2022-09-11,2027-09-10,Fixed,5.99,10991453.0,10554926.0,15144457.0,1071281.0,94.7,0.6969,1.47,0.1015,1.69,Compliant,Current,Pass,0
L0135,Mixed-Use,Midwest,2020-10-20,2025-10-19,Fixed,6.18,61065364.0,57252878.0,52315390.0,3716020.0,76.4,1.0944,0.91,0.0649,1.05,Compliant,Current,High Risk,0
L0136,Multifamily,Midwest,2023-11-09,2028-11-07,Floating,6.57,12434671.0,12114163.0,16751217.0,1196120.0,100.0,0.7232,1.31,0.0987,1.5,Compliant,Current,Pass,0
L0137,Retail,West,2019-07-24,2024-07-22,Fixed,5.34,5680176.0,5240764.0,5529395.0,426099.0,76.9,0.9478,1.32,0.0813,1.52,Compliant,Current,High Risk,0
L0138,Industrial,West,2019-09-18,2022-09-17,Fixed,6.53,10625831.0,9823392.0,14593028.0,846644.0,85.4,0.6732,1.15,0.0862,1.32,Compliant,Current,Watch,0
L0139,Multifamily,Northeast,2019-12-10,2024-12-08,Fixed,6.31,11943582.0,11074220.0,23740431.0,1287180.0,92.4,0.4665,1.6,0.1162,1.84,Compliant,Current,Pass,0
L0140,Mixed-Use,Northeast,2024-03-02,2027-03-02,Fixed,6.65,4688373.0,4585101.0,5192277.0,354811.0,82.4,0.8831,1.01,0.0774,1.16,Compliant,Current,High Risk,0
L0141,Mixed-Use,Southwest,2022-08-17,2029-08-15,Fixed,4.66,17524936.0,16814528.0,30641407.0,1702537.0,91.4,0.5488,1.89,0.1013,2.17,Compliant,Current,Pass,0
L0142,Multifamily,West,2021-11-23,2026-11-22,Fixed,6.34,10115812.0,9616950.0,17967375.0,963981.0,95.6,0.5352,1.37,0.1002,1.58,Compliant,30-60 Days,Pass,0
L0143,Retail,Southeast,2021-01-28,2026-01-27,Fixed,4.41,7883416.0,7417150.0,9431281.0,716925.0,88.1,0.7864,1.9,0.0967,2.19,Compliant,Current,Watch,0
